h,r0Mul,rRatio,tauMin,allFaces,count,agree,refOnly,genOnly,energy,wallSec
0.08,1.0,100.0,0.9,false,74,5,35,69,105.820,9.81
0.08,2.0,1.2,0.8,false,58,8,32,50,75.4486,5.61
0.08,2.0,1.2,0.85,false,56,4,36,52,59.6550,6.05
0.08,2.0,1.2,0.9,false,46,2,38,44,41.3275,6.50
0.08,2.0,1.414,0.8,false,64,8,32,56,77.2658,5.06
0.08,2.0,1.414,0.85,false,54,4,36,50,59.1298,5.07
0.08,2.0,1.414,0.9,false,44,5,35,39,38.9582,5.70
0.08,2.0,2.0,0.8,false,98,8,32,90,143.028,4.21
0.08,2.0,2.0,0.85,false,78,4,36,74,120.183,4.47
0.08,2.0,2.0,0.9,false,68,5,35,63,90.4300,5.01
0.08,2.0,100.0,0.8,false,82,8,32,74,103.598,4.13
0.08,2.0,100.0,0.85,false,56,1,39,55,81.0140,4.46
0.08,2.0,100.0,0.9,false,54,3,37,51,62.9122,5.24
0.08,3.0,1.2,0.8,false,42,2,38,40,51.8130,5.21
0.08,3.0,1.2,0.85,false,44,2,38,42,40.6444,5.68
0.08,3.0,1.2,0.9,false,38,3,37,35,30.8670,6.28
0.08,3.0,1.414,0.8,false,42,4,36,38,48.6253,4.67
0.08,3.0,1.414,0.85,false,40,4,36,36,37.8258,5.41
0.08,3.0,1.414,0.9,false,40,3,37,37,28.6414,7.24
0.08,3.0,2.0,0.8,false,58,3,37,55,76.6349,4.13
0.08,3.0,2.0,0.85,false,54,4,36,50,64.3267,4.65
0.08,3.0,2.0,0.9,false,46,2,38,44,51.5609,5.02
0.08,3.0,100.0,0.8,false,58,3,37,55,76.6349,4.07
0.08,3.0,100.0,0.85,false,54,4,36,50,64.3267,4.60
0.08,3.0,100.0,0.9,false,46,2,38,44,51.5609,5.00
0.08,5.0,1.2,0.8,false,56,5,35,51,54.1252,4.39
0.08,5.0,1.2,0.85,false,46,5,35,41,44.6443,4.45
0.08,5.0,1.2,0.9,false,40,5,35,35,34.0129,4.76
0.08,5.0,1.414,0.8,false,56,5,35,51,54.1252,4.13
0.08,5.0,1.414,0.85,false,46,5,35,41,44.6443,4.44
0.08,5.0,1.414,0.9,false,40,5,35,35,34.0129,4.57
0.08,5.0,2.0,0.8,false,56,5,35,51,54.1252,4.11
0.08,5.0,2.0,0.85,false,46,5,35,41,44.6443,4.46
0.08,5.0,2.0,0.9,false,40,5,35,35,34.0129,4.57
0.08,5.0,100.0,0.8,false,56,5,35,51,54.1252,4.46
0.08,5.0,100.0,0.85,false,46,5,35,41,44.6443,4.55
0.08,5.0,100.0,0.9,false,40,5,35,35,34.0129,4.76
0.10,1.0,1.2,0.8,false,54,3,37,51,64.2645,6.40
0.10,1.0,1.2,0.85,false,44,4,36,40,49.8124,6.89
0.10,1.0,1.2,0.9,false,40,4,36,36,34.6178,7.39
0.10,1.0,1.414,0.8,false,46,4,36,42,66.5815,5.14
0.10,1.0,1.414,0.85,false,42,4,36,38,47.3340,5.70
0.10,1.0,1.414,0.9,false,42,3,37,39,36.5870,6.73
0.10,1.0,2.0,0.8,false,96,4,36,92,122.688,4.28
0.10,1.0,2.0,0.85,false,70,10,30,60,98.8395,4.84
0.10,1.0,2.0,0.9,false,70,4,36,66,78.3670,5.58
0.10,1.0,100.0,0.8,false,80,4,36,76,123.987,8.80
0.10,1.0,100.0,0.85,false,80,3,37,77,115.232,9.49
0.10,1.0,100.0,0.9,false,74,5,35,69,105.893,9.91
0.10,2.0,1.2,0.8,false,50,5,35,45,59.9944,6.16
0.10,2.0,1.2,0.85,false,42,4,36,38,46.1606,6.26
0.10,2.0,1.2,0.9,false,40,5,35,35,32.3304,7.21
0.10,2.0,1.414,0.8,false,56,6,34,50,80.0543,5.23
0.10,2.0,1.414,0.85,false,50,3,37,47,58.0279,5.74
0.10,2.0,1.414,0.9,false,46,2,38,44,39.4360,6.41
0.10,2.0,2.0,0.8,false,98,8,32,90,143.028,4.27
0.10,2.0,2.0,0.85,false,78,4,36,74,120.183,4.37
0.10,2.0,2.0,0.9,false,68,5,35,63,90.4300,5.13
0.10,2.0,100.0,0.8,false,82,8,32,74,103.598,4.36
0.10,2.0,100.0,0.85,false,56,1,39,55,81.0140,4.40
0.10,2.0,100.0,0.9,false,54,3,37,51,62.9122,5.69
0.10,3.0,1.2,0.8,false,50,2,38,48,54.8170,6.51
0.10,3.0,1.2,0.85,false,42,4,36,38,40.8815,6.21
0.10,3.0,1.2,0.9,false,42,4,36,38,32.1504,7.75
0.10,3.0,1.414,0.8,false,52,5,35,47,62.0309,4.80
0.10,3.0,1.414,0.85,false,46,6,34,40,50.4801,5.26
0.10,3.0,1.414,0.9,false,44,5,35,39,39.4919,5.93
0.10,3.0,2.0,0.8,false,78,4,35,73,101.582,4.63
0.10,3.0,2.0,0.85,false,66,2,38,64,86.4126,5.18
0.10,3.0,2.0,0.9,false,56,2,38,54,67.7969,5.32
0.10,3.0,100.0,0.8,false,58,3,37,55,76.6349,4.13
0.10,3.0,100.0,0.85,false,54,4,36,50,64.3267,4.74
0.10,3.0,100.0,0.9,false,46,2,38,44,51.5609,4.99
0.10,5.0,1.2,0.8,false,44,6,34,38,36.0045,5.46
0.10,5.0,1.2,0.85,false,36,4,36,32,31.5279,5.55
0.10,5.0,1.2,0.9,false,36,5,35,31,24.4008,6.78
0.10,5.0,1.414,0.8,false,56,5,35,51,54.1252,4.32
0.10,5.0,1.414,0.85,false,46,5,35,41,44.6443,4.61
0.10,5.0,1.414,0.9,false,40,5,35,35,34.0129,4.57
0.10,5.0,2.0,0.8,false,56,5,35,51,54.1252,4.39
0.10,5.0,2.0,0.85,false,46,5,35,41,44.6443,4.48
0.10,5.0,2.0,0.9,false,40,5,35,35,34.0129,4.82
0.10,5.0,100.0,0.8,false,56,5,35,51,54.1252,4.21
0.10,5.0,100.0,0.85,false,46,5,35,41,44.6443,4.36
0.10,5.0,100.0,0.9,false,40,5,35,35,34.0129,4.70
